Percentage served,Time in ms
0,1990.891
1,1990.891
2,1990.891
3,1990.891
4,1990.891
5,2007.612
6,2007.612
7,2007.612
8,2007.612
9,2007.612
10,2007.612
11,2007.612
12,2007.612
13,2007.612
14,2007.612
15,2022.809
16,2022.809
17,2022.809
18,2022.809
19,2022.809
20,2022.809
21,2022.809
22,2022.809
23,2022.809
24,2022.809
25,2048.827
26,2048.827
27,2048.827
28,2048.827
29,2048.827
30,2048.827
31,2048.827
32,2048.827
33,2048.827
34,2048.827
35,2053.994
36,2053.994
37,2053.994
38,2053.994
39,2053.994
40,2053.994
41,2053.994
42,2053.994
43,2053.994
44,2053.994
45,2112.728
46,2112.728
47,2112.728
48,2112.728
49,2112.728
50,2112.728
51,2112.728
52,2112.728
53,2112.728
54,2112.728
55,2120.173
56,2120.173
57,2120.173
58,2120.173
59,2120.173
60,2120.173
61,2120.173
62,2120.173
63,2120.173
64,2120.173
65,2153.782
66,2153.782
67,2153.782
68,2153.782
69,2153.782
70,2153.782
71,2153.782
72,2153.782
73,2153.782
74,2153.782
75,2160.014
76,2160.014
77,2160.014
78,2160.014
79,2160.014
80,2160.014
81,2160.014
82,2160.014
83,2160.014
84,2160.014
85,2164.327
86,2164.327
87,2164.327
88,2164.327
89,2164.327
90,2164.327
91,2164.327
92,2164.327
93,2164.327
94,2164.327
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
